idx,Date,symbol,5adjustedclose,pred_01,truth,X,X,X
1114,8/10/2022,BTAI,15,0.19%,-20.33%,0.028805916,-3.05,-3.05
4191,6/29/2018,ODFL,97.8506,0.22%,-3.16%,0.212822276,-3.0874,-3.0874
2816,11/13/2018,CSR,46.8999,0.27%,-6.62%,0.127720293,-3.1036,-3.1036
9893,2/9/2022,VRNT,53.97,0.22%,-5.84%,0.116784544,-3.15,-3.15
9724,6/10/2021,VRNT,45.66,0.27%,-6.99%,0.12528773,-3.19,-3.19
4379,4/1/2019,ODFL,98.2357,0.22%,-3.34%,0.217484704,-3.2774,-3.2774
2706,6/8/2018,CSR,48.6946,0.34%,-6.80%,0.163986599,-3.3133,-3.3133
1034,4/14/2022,BTAI,15.58,0.31%,-21.37%,0.04765318,-3.33,-3.33
1094,7/13/2022,BTAI,17.89,0.17%,-18.89%,0.030351145,-3.38,-3.38
8658,5/3/2022,SLN,12.7,0.31%,-26.77%,0.039358818,-3.4,-3.4
391,9/26/2019,BTAI,7.5,0.24%,-46.00%,0.018164264,-3.45,-3.45
1320,3/7/2018,CDTX,7.35,0.31%,-47.62%,0.022775566,-3.5,-3.5
3584,12/2/2021,CSR,101.646,0.13%,-3.47%,0.135702635,-3.5239,-3.5239
603,7/30/2020,BTAI,48.47,0.19%,-7.28%,0.092294441,-3.53,-3.53
8561,12/13/2021,SLN,24.55,0.24%,-14.46%,0.057914378,-3.55,-3.55
8474,8/10/2021,SLN,25.7307,0.33%,-13.80%,0.085627491,-3.5507,-3.5507
4537,11/13/2019,ODFL,128.332,0.23%,-2.80%,0.293067784,-3.59,-3.59
5408,2/26/2018,PBH,36.25,0.34%,-9.93%,0.123222334,-3.6,-3.6
3321,11/16/2020,CSR,69.5089,0.30%,-5.22%,0.205799935,-3.627,-3.627
3948,7/13/2017,ODFL,64.958,0.27%,-5.69%,0.176505761,-3.6982,-3.6982
4082,1/24/2018,ODFL,97.2437,0.26%,-3.81%,0.256472693,-3.7088,-3.7088
1015,3/18/2022,BTAI,17.66,0.25%,-21.01%,0.044437561,-3.71,-3.71
4188,6/26/2018,ODFL,100.439,0.16%,-3.73%,0.160866457,-3.7445,-3.7445
676,11/11/2020,BTAI,56.58,0.23%,-6.63%,0.130197426,-3.75,-3.75
8597,2/3/2022,SLN,20.62,0.23%,-18.21%,0.046643294,-3.755,-3.755
1099,7/20/2022,BTAI,17.47,0.25%,-21.69%,0.044253369,-3.79,-3.79
731,2/2/2021,BTAI,50.69,0.27%,-7.54%,0.136568821,-3.82,-3.82
9718,6/2/2021,VRNT,46,0.21%,-8.54%,0.094846526,-3.93,-3.93
4533,11/7/2019,ODFL,128.247,0.19%,-3.11%,0.246001651,-3.994,-3.994
1029,4/7/2022,BTAI,17.62,0.19%,-22.99%,0.033458304,-4.05,-4.05
3121,2/3/2020,CSR,67.5036,0.29%,-6.05%,0.193146768,-4.0827,-4.0827
2717,6/25/2018,CSR,50.3196,0.34%,-8.12%,0.169459037,-4.0869,-4.0869
1036,4/19/2022,BTAI,14.93,0.20%,-27.60%,0.030122653,-4.12,-4.12
2815,11/12/2018,CSR,46.8137,0.22%,-8.84%,0.101641685,-4.1382,-4.1382
9259,8/6/2019,VRNT,27.3765,0.24%,-15.24%,0.064453734,-4.1722,-4.1722
3245,7/30/2020,CSR,66.6569,0.33%,-6.30%,0.217415391,-4.1978,-4.1978
5318,10/16/2017,PBH,47.9,0.31%,-8.83%,0.146643115,-4.23,-4.23
6372,12/22/2021,PBH,62.62,0.19%,-6.85%,0.118698627,-4.29,-4.29
4115,3/13/2018,ODFL,97.4335,0.20%,-4.47%,0.19684376,-4.3581,-4.3581
6409,2/15/2022,PBH,57.77,0.24%,-7.58%,0.13731446,-4.38,-4.38
4534,11/8/2019,ODFL,128.088,0.20%,-3.43%,0.250699047,-4.396,-4.396
3697,5/16/2022,CSR,83.9687,0.32%,-5.43%,0.271820134,-4.5582,-4.5582
5420,3/14/2018,PBH,36.44,0.22%,-12.65%,0.079224896,-4.61,-4.61
3746,7/27/2022,CSR,81.557,0.25%,-5.66%,0.205380344,-4.6194,-4.6194
9642,2/11/2021,VRNT,50.12,0.20%,-9.36%,0.100730374,-4.69,-4.69
5908,2/21/2020,PBH,42.4,0.33%,-11.44%,0.138413316,-4.85,-4.85
5316,10/12/2017,PBH,48.15,0.35%,-10.11%,0.17080926,-4.87,-4.87
9278,9/3/2019,VRNT,26.9842,0.29%,-18.14%,0.07762833,-4.8956,-4.8956
502,3/6/2020,BTAI,33.06,0.22%,-14.82%,0.074148396,-4.9,-4.9
3152,3/18/2020,CSR,62.1591,0.23%,-7.98%,0.144884185,-4.962,-4.962
5414,3/6/2018,PBH,36.24,0.31%,-13.88%,0.110970787,-5.03,-5.03
